"CASE_ID"	"close_dt"	"start_dt"	"duration"
"471"	55525	2016-09-01	2013-03-01	1280
"472"	55600	2017-04-01	2014-12-01	852
"473"	55615	2016-08-01	2013-04-01	1218
"474"	55623	2017-04-01	2016-06-01	304
"475"	55700	2016-08-01	2013-04-01	1218
"476"	55719	2017-04-01	2016-08-01	243
"477"	55823	2017-04-01	2013-05-01	1431
"478"	55839	2017-04-01	2013-05-01	1431
"479"	55841	2016-04-01	2013-02-01	1155
"480"	55869	2017-04-01	2013-05-01	1431
"481"	55881	2017-04-01	2013-05-01	1431
"482"	55993	2016-07-01	2013-06-01	1126
"483"	56007	2017-04-01	2013-06-01	1400
"484"	56008	2017-04-01	2013-06-01	1400
"485"	56103	2017-04-01	2013-07-01	1370
"486"	56115	2016-02-01	2013-06-01	975
"487"	56122	2017-04-01	2013-07-01	1370
"488"	56127	2016-12-01	2016-07-01	153
"489"	56141	2017-04-01	2013-07-01	1370
"490"	56156	2017-02-01	2013-07-01	1311
"491"	56183	2017-04-01	2013-06-01	1400
"492"	56191	2017-04-01	2016-02-01	425
"493"	56197	2016-09-01	2013-07-01	1158
"494"	56237	2017-04-01	2013-06-01	1400
"495"	56265	2017-01-01	2013-07-01	1280
"496"	56306	2017-04-01	2013-07-01	1370
"497"	56314	2017-01-01	2013-07-01	1280
"498"	56318	2017-04-01	2013-07-01	1370
"499"	56319	2017-04-01	2013-07-01	1370
"500"	56335	2016-11-01	2013-08-01	1188
"501"	56370	2016-09-01	2013-08-01	1127
"502"	56397	2017-04-01	2012-11-01	1612
"503"	56405	2017-04-01	2013-08-01	1339
"504"	56490	2016-09-01	2013-08-01	1127
"505"	56499	2016-04-01	2013-08-01	974
"506"	56504	2017-04-01	2016-07-01	274
"507"	56525	2017-04-01	2016-08-01	243
"508"	56531	2017-04-01	2013-05-01	1431
"509"	56538	2017-01-01	2013-08-01	1249
"510"	56549	2016-08-01	2013-09-01	1065
"511"	56561	2017-01-01	2013-09-01	1218
"512"	56588	2017-04-01	2013-09-01	1308
"513"	56638	2017-04-01	2016-01-01	456
"514"	56660	2016-05-01	2016-03-01	61
"515"	56685	2017-04-01	2013-10-01	1278
"516"	56693	2017-04-01	2013-10-01	1278
"517"	56725	2016-12-01	2013-10-01	1157
"518"	56744	2017-04-01	2013-10-01	1278
"519"	56768	2017-01-01	2013-10-01	1188
"520"	56799	2017-04-01	2013-09-01	1308
"521"	56804	2017-04-01	2013-11-01	1247
"522"	56813	2017-04-01	2013-11-01	1247
"523"	56840	2017-04-01	2014-11-01	882
"524"	56847	2016-06-01	2013-11-01	943
"525"	56860	2016-11-01	2013-11-01	1096
"526"	56865	2017-01-01	2013-11-01	1157
"527"	56912	2016-03-01	2016-02-01	29
"528"	56925	2016-06-01	2013-12-01	913
"529"	57046	2017-04-01	2013-12-01	1217
"530"	57088	2016-11-01	2016-02-01	274
"531"	57145	2016-08-01	2014-01-01	943
"532"	57158	2016-02-01	2014-01-01	761
"533"	57164	2017-04-01	2016-10-01	182
"534"	57171	2016-12-01	2016-12-01	0
"535"	57217	2017-04-01	2014-01-01	1186
"536"	57274	2016-12-01	2016-09-01	91
"537"	57303	2016-11-01	2014-02-01	1004
"538"	57410	2016-10-01	2013-12-01	1035
"539"	57436	2016-04-01	2014-02-01	790
"540"	57444	2017-01-01	2013-11-01	1157
"541"	57490	2017-01-01	2014-03-01	1037
"542"	57492	2017-04-01	2016-05-01	335
"543"	57509	2017-04-01	2014-03-01	1127
"544"	57525	2017-04-01	2014-03-01	1127
"545"	57556	2017-04-01	2014-03-01	1127
"546"	57623	2016-06-01	2014-04-01	792
"547"	57630	2017-04-01	2016-01-01	456
"548"	57663	2017-04-01	2014-04-01	1096
"549"	57683	2017-04-01	2014-04-01	1096
"550"	57697	2017-04-01	2014-04-01	1096
"551"	57698	2017-01-01	2016-08-01	153
"552"	57728	2017-04-01	2014-05-01	1066
"553"	57732	2017-01-01	2015-10-01	458
"554"	57744	2017-04-01	2014-03-01	1127
"555"	57759	2017-04-01	2016-12-01	121
