CASE_ID,ACHA,AIU_CHILD,AIU_PARENT,CYF_KPL,CYF_PL_O,DA,DPW_FS,DPW_GA,DPW_SSI,DPW_TANF,EI,FSC,HACP,HH,IL_CHILD,JPO,JPO_CHILD,JPO_KPL,JPO_PL_O,MH,ID,nClose,Duration,place_Y
33405,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,0,1,1,0,-1,0,2,123,F
33410,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,123,F
33413,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,1,0,3,122,F
33453,1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,1,1,0,-1,0,0,0,-1,0,3,276,F
33472,1,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,3,92,F
33514,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,3,123,F
33598,1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,0,-1,0,-1,0,0,-1,-1,0,4,90,F
33624,0,0,0,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,2,306,F
33648,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,-1,0,4,92,F
33651,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,4,30,F
33671,0,-1,-1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,215,T
33673,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,5,215,F
33692,0,-1,0,1,-1,-1,-1,0,0,-1,1,-1,0,-1,0,-1,0,0,-1,1,0,3,306,T
33693,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,121,F
33700,0,0,0,0,0,0,-1,-1,1,-1,0,0,-1,-1,0,0,1,0,0,-1,0,2,91,F
33724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,122,F
33771,0,0,0,0,1,1,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,2,30,F
33809,0,-1,-1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,-1,0,2,122,F
33820,-1,-1,0,-1,0,-1,-1,0,1,-1,0,0,-1,1,1,-1,1,-1,-1,-1,0,4,151,F
33824,-1,0,0,0,1,1,-1,0,-1,-1,-1,0,-1,1,0,-1,0,0,0,-1,0,3,245,F
33841,-1,0,0,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,2,122,F
33876,0,0,0,0,0,1,1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,2,274,F
33902,0,0,0,0,1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,0,-1,1,0,2,31,F
33904,0,0,0,0,-1,1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,2,92,F
33941,0,0,0,1,0,-1,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,2,184,T
33950,-1,0,0,0,0,1,-1,0,-1,0,-1,0,0,1,0,0,0,0,0,-1,0,2,306,F
33958,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,397,F
34021,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,2,153,F
34082,0,0,0,0,-1,-1,-1,0,1,-1,0,-1,0,-1,1,1,0,0,0,-1,0,3,92,F
34126,-1,0,0,0,0,-1,-1,0,-1,1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,2,62,F
34145,-1,0,-1,0,0,-1,1,0,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,0,3,61,F
34154,0,0,0,0,-1,-1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,-1,0,2,337,F
