"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration","duration2"
33413,TRUE,TRUE,TRUE,FALSE,FALSE,3,122,122
33453,TRUE,FALSE,TRUE,TRUE,FALSE,3,276,NA
33472,TRUE,TRUE,TRUE,TRUE,FALSE,3,92,NA
33514,FALSE,FALSE,TRUE,FALSE,FALSE,3,123,NA
33598,TRUE,TRUE,TRUE,TRUE,FALSE,4,90,90
33624,TRUE,TRUE,TRUE,FALSE,FALSE,2,306,NA
33648,FALSE,TRUE,TRUE,FALSE,FALSE,4,92,NA
33651,FALSE,FALSE,TRUE,FALSE,FALSE,4,30,30
33671,FALSE,FALSE,FALSE,FALSE,TRUE,5,215,NA
33673,TRUE,TRUE,TRUE,FALSE,TRUE,5,215,NA
33692,TRUE,TRUE,TRUE,TRUE,TRUE,3,306,NA
33693,TRUE,FALSE,FALSE,FALSE,FALSE,2,121,121
33700,FALSE,TRUE,TRUE,FALSE,FALSE,2,91,91
33724,FALSE,FALSE,FALSE,FALSE,FALSE,5,122,122
33771,FALSE,FALSE,TRUE,FALSE,TRUE,2,30,30
33809,FALSE,FALSE,FALSE,TRUE,FALSE,2,122,122
33820,TRUE,TRUE,TRUE,FALSE,FALSE,4,151,151
33824,FALSE,TRUE,TRUE,FALSE,TRUE,3,245,NA
33841,TRUE,TRUE,TRUE,FALSE,FALSE,2,122,122
33876,FALSE,FALSE,TRUE,FALSE,FALSE,2,274,274
33902,FALSE,FALSE,TRUE,FALSE,TRUE,2,31,31
33904,TRUE,FALSE,TRUE,FALSE,FALSE,2,92,NA
33941,FALSE,TRUE,TRUE,TRUE,TRUE,2,184,NA
33950,FALSE,TRUE,TRUE,FALSE,FALSE,2,306,NA
33958,FALSE,FALSE,TRUE,FALSE,FALSE,2,397,NA
34021,FALSE,FALSE,TRUE,FALSE,FALSE,2,153,153
34082,TRUE,TRUE,TRUE,TRUE,TRUE,3,92,NA
34126,FALSE,TRUE,TRUE,TRUE,FALSE,2,62,NA
34145,FALSE,TRUE,TRUE,TRUE,FALSE,3,61,61
34154,TRUE,TRUE,TRUE,FALSE,FALSE,2,337,NA
34155,FALSE,TRUE,TRUE,FALSE,TRUE,3,366,NA
34193,FALSE,TRUE,TRUE,FALSE,FALSE,5,183,183
34279,FALSE,TRUE,TRUE,TRUE,FALSE,5,62,NA
34312,TRUE,TRUE,FALSE,FALSE,FALSE,3,215,NA
34319,TRUE,FALSE,TRUE,FALSE,TRUE,2,123,NA
34341,TRUE,TRUE,TRUE,TRUE,TRUE,3,30,30
34622,TRUE,TRUE,TRUE,TRUE,FALSE,3,276,NA
34771,TRUE,TRUE,TRUE,FALSE,FALSE,3,62,NA
34779,TRUE,FALSE,TRUE,TRUE,TRUE,3,184,NA
34815,FALSE,TRUE,TRUE,FALSE,FALSE,2,366,NA
34842,FALSE,FALSE,TRUE,TRUE,FALSE,2,62,NA
34851,TRUE,TRUE,TRUE,TRUE,FALSE,3,30,30
34866,FALSE,TRUE,TRUE,FALSE,FALSE,4,245,NA
34868,FALSE,FALSE,TRUE,TRUE,FALSE,2,153,153
34871,FALSE,FALSE,FALSE,TRUE,TRUE,4,184,NA
34889,FALSE,FALSE,TRUE,FALSE,FALSE,2,153,153
34896,FALSE,FALSE,TRUE,TRUE,FALSE,3,276,NA
34902,FALSE,TRUE,TRUE,FALSE,TRUE,4,92,NA
34933,TRUE,TRUE,TRUE,FALSE,FALSE,3,276,NA
34938,FALSE,FALSE,FALSE,FALSE,FALSE,2,30,30
35045,FALSE,FALSE,TRUE,TRUE,FALSE,2,276,NA
35070,FALSE,TRUE,TRUE,FALSE,FALSE,2,60,60
35095,FALSE,FALSE,TRUE,TRUE,FALSE,2,62,NA
35137,FALSE,TRUE,FALSE,FALSE,TRUE,2,306,NA
35211,TRUE,TRUE,TRUE,FALSE,FALSE,3,31,31
35279,FALSE,FALSE,TRUE,TRUE,FALSE,3,122,122
35292,TRUE,FALSE,TRUE,TRUE,FALSE,2,123,NA
35343,TRUE,TRUE,TRUE,TRUE,FALSE,4,92,NA
