"","CASE_ID","close_dt","start_dt","duration","X","nClients","nMH","nClose","ratio","CASE_ID.1","MHt"
"716",60744,2016-04-01,2016-01-01,91,716,4,2,1,0.5,60744,0
"717",60745,2017-04-01,2016-01-01,456,717,4,0,1,0,60745,-1
"718",60747,2016-02-01,2016-01-01,31,718,7,1,1,0.14,60747,-1
"719",60750,2016-03-01,2016-01-01,60,719,6,3,1,0.5,60750,-1
"720",60752,2016-07-01,2016-01-01,182,720,3,2,1,0.67,60752,-1
"721",60753,2016-02-01,2016-01-01,31,721,9,2,1,0.22,60753,-1
"722",60755,2016-04-01,2016-01-01,91,722,2,1,1,0.5,60755,0
"723",60756,2016-03-01,2016-01-01,60,723,5,1,1,0.2,60756,-1
"724",60760,2016-02-01,2016-01-01,31,724,1,0,1,0,60760,0
"725",60762,2016-11-01,2016-01-01,305,725,5,2,1,0.4,60762,0
"726",60764,2017-04-01,2016-01-01,456,726,4,3,1,0.75,60764,0
"727",60766,2016-05-01,2016-01-01,121,727,4,0,1,0,60766,-1
"728",60767,2016-07-01,2016-01-01,182,728,3,2,1,0.67,60767,-1
"729",60770,2016-02-01,2016-01-01,31,729,4,0,1,0,60770,NA
"730",60771,2016-03-01,2016-01-01,60,730,6,4,1,0.67,60771,-1
"731",60772,2017-04-01,2016-01-01,456,731,4,3,1,0.75,60772,-1
"732",60774,2016-05-01,2016-01-01,121,732,3,0,1,0,60774,NA
"733",60777,2016-12-01,2016-01-01,335,733,4,1,1,0.25,60777,-1
"734",60781,2016-11-01,2016-01-01,305,734,3,1,1,0.33,60781,0
"735",60782,2016-10-01,2016-01-01,274,735,7,1,1,0.14,60782,0
"736",60787,2016-06-01,2016-01-01,152,736,2,1,1,0.5,60787,0
"737",60788,2016-06-01,2016-03-01,92,737,6,2,1,0.33,60788,0
"738",60789,2017-04-01,2016-01-01,456,738,7,4,1,0.57,60789,0
"739",60793,2017-04-01,2016-02-01,425,739,7,2,1,0.29,60793,-1
"740",60794,2017-04-01,2016-02-01,425,740,3,1,1,0.33,60794,0
"741",60799,2016-09-01,2016-02-01,213,741,5,2,1,0.4,60799,0
"742",60806,2016-09-01,2016-02-01,213,742,3,2,1,0.67,60806,0
"743",60807,2016-05-01,2016-01-01,121,743,4,0,1,0,60807,NA
"744",60811,2016-10-01,2016-02-01,243,744,3,0,1,0,60811,NA
"745",60814,2016-04-01,2016-01-01,91,745,5,1,1,0.2,60814,1
"746",60817,2016-11-01,2016-01-01,305,746,8,0,2,0,60817,NA
"747",60818,2016-06-01,2016-02-01,121,747,7,4,1,0.57,60818,-1
"748",60820,2017-04-01,2016-01-01,456,748,5,0,1,0,60820,-1
"749",60821,2016-02-01,2016-01-01,31,749,4,3,1,0.75,60821,-1
"750",60822,2017-04-01,2016-02-01,425,750,4,2,1,0.5,60822,0
"751",60823,2017-04-01,2016-02-01,425,751,4,1,1,0.25,60823,0
"752",60825,2017-04-01,2016-02-01,425,752,3,1,1,0.33,60825,-1
"753",60829,2016-02-01,2016-01-01,31,753,4,0,1,0,60829,-1
"754",60836,2016-06-01,2016-02-01,121,754,4,2,1,0.5,60836,0
"755",60838,2016-09-01,2016-02-01,213,755,3,2,2,0.67,60838,-1
"756",60839,2016-07-01,2016-02-01,151,756,3,2,1,0.67,60839,0
"757",60841,2016-03-01,2016-02-01,29,757,1,0,1,0,60841,0
"758",60842,2016-11-01,2016-02-01,274,758,3,1,1,0.33,60842,0
"759",60843,2016-04-01,2016-02-01,60,759,7,6,1,0.86,60843,-1
"760",60847,2016-12-01,2016-02-01,304,760,5,2,1,0.4,60847,0
"761",60850,2016-10-01,2016-01-01,274,761,5,3,1,0.6,60850,-1
"762",60852,2017-04-01,2016-01-01,456,762,4,1,1,0.25,60852,0
"763",60853,2016-02-01,2016-02-01,0,763,3,1,1,0.33,60853,0
"764",60854,2016-04-01,2016-01-01,91,764,5,1,1,0.2,60854,0
"765",60856,2017-04-01,2016-04-01,365,765,6,1,1,0.17,60856,0
"766",60857,2016-09-01,2016-01-01,244,766,5,2,1,0.4,60857,0
"767",60859,2016-08-01,2016-02-01,182,767,3,0,1,0,60859,NA
"768",60862,2017-04-01,2016-02-01,425,768,4,2,1,0.5,60862,0
"769",60863,2017-04-01,2016-02-01,425,769,5,1,1,0.2,60863,0
"770",60864,2016-12-01,2016-10-01,61,770,6,5,2,0.83,60864,0
"771",60869,2016-02-01,2016-02-01,0,771,4,1,1,0.25,60869,0
"772",60870,2017-04-01,2016-02-01,425,772,3,2,1,0.67,60870,0
"773",60871,2017-04-01,2016-02-01,425,773,4,3,1,0.75,60871,0
"774",60872,2016-05-01,2016-02-01,90,774,5,4,1,0.8,60872,-1
"775",60873,2016-06-01,2016-02-01,121,775,4,3,1,0.75,60873,-1
"776",60874,2016-06-01,2016-02-01,121,776,3,0,1,0,60874,0
"777",60875,2016-03-01,2016-02-01,29,777,3,0,1,0,60875,NA
"778",60876,2016-06-01,2016-02-01,121,778,5,2,1,0.4,60876,-1
"779",60877,2016-04-01,2016-02-01,60,779,3,0,1,0,60877,NA
"780",60878,2017-04-01,2016-02-01,425,780,3,1,1,0.33,60878,0
"781",60882,2017-04-01,2016-02-01,425,781,3,1,1,0.33,60882,-1
"782",60883,2016-12-01,2016-02-01,304,782,7,3,2,0.43,60883,-1
"783",60884,2016-05-01,2016-02-01,90,783,5,1,1,0.2,60884,1
"784",60885,2016-04-01,2016-02-01,60,784,5,0,1,0,60885,NA
"785",60888,2017-04-01,2016-02-01,425,785,3,1,2,0.33,60888,0
"786",60889,2016-04-01,2016-02-01,60,786,6,0,1,0,60889,NA
"787",60890,2017-04-01,2016-02-01,425,787,4,2,1,0.5,60890,-1
"788",60893,2016-08-01,2016-02-01,182,788,4,0,1,0,60893,-1
"789",60895,2016-10-01,2016-02-01,243,789,2,1,1,0.5,60895,0
"790",60896,2017-04-01,2016-02-01,425,790,5,1,1,0.2,60896,0
"791",60897,2016-07-01,2016-02-01,151,791,3,2,1,0.67,60897,0
"792",60900,2017-04-01,2016-05-01,335,792,14,2,2,0.14,60900,0
"793",60901,2016-02-01,2016-02-01,0,793,3,1,1,0.33,60901,-1
"794",60902,2017-04-01,2016-02-01,425,794,2,1,1,0.5,60902,0
"795",60903,2017-04-01,2016-02-01,425,795,7,3,1,0.43,60903,-1
"796",60904,2016-04-01,2016-02-01,60,796,4,2,1,0.5,60904,-1
"797",60906,2016-11-01,2016-02-01,274,797,2,1,1,0.5,60906,-1
"798",60907,2017-04-01,2016-06-01,304,798,15,8,1,0.53,60907,-1
"799",60908,2016-04-01,2016-02-01,60,799,5,3,1,0.6,60908,-1
"800",60909,2017-04-01,2016-02-01,425,800,8,1,1,0.12,60909,-1
"801",60914,2017-04-01,2016-02-01,425,801,7,4,1,0.57,60914,-1
"802",60915,2017-04-01,2016-02-01,425,802,3,0,2,0,60915,NA
"803",60916,2016-05-01,2016-02-01,90,803,5,1,1,0.2,60916,-1
"804",60919,2017-04-01,2016-09-01,212,804,5,1,1,0.2,60919,0
"805",60920,2017-04-01,2016-03-01,396,805,2,1,1,0.5,60920,-1
